Start (s),End (s),scientific_name,common_name,Confidence,File,lat,lon
3.0,6.0,Erithacus rubecula,European Robin,0.8354,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
9.0,12.0,Troglodytes troglodytes,Eurasian Wren,0.3616,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
15.0,18.0,Troglodytes troglodytes,Eurasian Wren,0.3039,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
18.0,21.0,Troglodytes troglodytes,Eurasian Wren,0.5987,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
21.0,24.0,Erithacus rubecula,European Robin,0.7270,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
24.0,27.0,Erithacus rubecula,European Robin,0.7629,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
30.0,33.0,Erithacus rubecula,European Robin,0.2873,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
39.0,42.0,Erithacus rubecula,European Robin,0.8914,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070000.wav,51.407777,-0.646617
6.0,9.0,Erithacus rubecula,European Robin,0.6740,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
9.0,12.0,Turdus merula,Eurasian Blackbird,0.7892,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
9.0,12.0,Erithacus rubecula,European Robin,0.4378,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
12.0,15.0,Erithacus rubecula,European Robin,0.6033,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
21.0,24.0,Erithacus rubecula,European Robin,0.4811,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
24.0,27.0,Erithacus rubecula,European Robin,0.2846,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
36.0,39.0,Corvus monedula,Eurasian Jackdaw,0.8972,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
42.0,45.0,Corvus monedula,Eurasian Jackdaw,0.7316,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
45.0,48.0,Corvus monedula,Eurasian Jackdaw,0.3457,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
48.0,51.0,Corvus monedula,Eurasian Jackdaw,0.4297,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_070500.wav,51.407777,-0.646617
6.0,9.0,Corvus monedula,Eurasian Jackdaw,0.3330,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
18.0,21.0,Buteo buteo,Common Buzzard,0.7105,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
27.0,30.0,Buteo buteo,Common Buzzard,0.3731,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
30.0,33.0,Buteo buteo,Common Buzzard,0.6746,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
33.0,36.0,Buteo buteo,Common Buzzard,0.4844,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
42.0,45.0,Streptopelia decaocto,Eurasian Collared-Dove,0.4405,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
45.0,48.0,Streptopelia decaocto,Eurasian Collared-Dove,0.7473,/Users/clarence/camera_trap/acoustic_data/Project Acoustic Data/DawnChorus_9Oct/2MM06423_20251009_071000.wav,51.407777,-0.646617
