"","ec5_parent_uuid.tree","ec5_parent_uuid","ec5_uuid","created_at.stem","uploaded_at.stem","title.stem","Stem_number","Stem_distance","Angle_to_base","Angle_to_canopy","Stem_girth","created_at.tree","uploaded_at.tree","title.tree","Quarter","Distance_SamplePoint","Tree_Sp","Tag","lat_GPS_Location_tree","long_GPS_Location_tree","accuracy_GPS_Location_tree","UTM_Northing_GPS_Location_tree","UTM_Easting_GPS_Location_tree","UTM_Zone_GPS_Location_tree","Picture_ID","created_at","uploaded_at","title","Group","Date","Woodland","Transect","Sampling_point","lat_Point_GPS","long_Point_GPS","accuracy_Point_GPS","UTM_Northing_Point_GPS","UTM_Easting_Point_GPS","UTM_Zone_Point_GPS","Precentage_cover","Species_number","Max_height","Dominant_sp","Quadrat_photo"
"1","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","5ad26a40-a455-11f0-9bac-a50de5b7239f","915dbba0-a455-11f0-ba1c-f9b49e6b3c03","2025-10-08T14:46:26.000Z","2025-10-08T14:47:30.000Z",1,1,12.3,9,50,171,"2025-10-08T14:44:55.000Z","2025-10-08T14:46:06.000Z","QI","QI",18,"Quercus robur (Pedunculated Oak)",1225,51.4081,-0.64485,4,5697840,663795,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"2","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","cfe59e00-a456-11f0-8362-f9ada18b00d2","62e32a10-a457-11f0-b9b3-bf7713a3e054","2025-10-08T14:59:27.000Z","2025-10-08T14:59:49.000Z",1,1,12,5,50,95,"2025-10-08T14:55:21.000Z","2025-10-08T14:56:17.000Z","QII","QII",1.3,"",NA,51.40806,-0.64465,4,5697836,663809,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"3","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","f315cbc0-a456-11f0-8362-f9ada18b00d2","73d08200-a457-11f0-9613-fd218817e4de","2025-10-08T14:59:56.000Z","2025-10-08T15:00:15.000Z",1,1,12,1,60,220,"2025-10-08T14:56:20.000Z","2025-10-08T14:58:14.000Z","QIII","QIII",10.9,"Conifer",NA,51.40794,-0.64463,4,5697823,663811,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"4","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","37ac8ad0-a457-11f0-8362-f9ada18b00d2","83b4f570-a457-11f0-ab11-ed5ce855d63e","2025-10-08T15:00:22.000Z","2025-10-08T15:00:41.000Z",1,1,13,4,54,230,"2025-10-08T14:58:15.000Z","2025-10-08T14:59:17.000Z","QIV","QIV",4.3,"Quercus robur (Pedunculated Oak)",1224,51.40804,-0.64475,4,5697834,663802,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"5","0c19029f-8226-475a-b4cb-c249d32289b0","25425f74-2eb2-440c-bc97-3026d775313a","e9ba3e4e-8b02-4865-8e83-f8f17621115a","2025-10-06T12:23:52.000Z","2025-10-06T14:06:59.000Z",1,1,10,3,69,139,"2025-10-06T12:20:51.000Z","2025-10-06T14:06:57.000Z","QIV","QIV",11.05,"Betula pendula (Silver Birch)",NA,51.414369,-0.650736,13,5698524,663364,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=25425f74-2eb2-440c-bc97-3026d775313a_1759753247.jpg","2025-10-06T11:48:44.000Z","2025-10-06T14:06:41.000Z","6 T1 P1","6","06/10/2025","Farm wood","T1","P1",51.414432,-0.650753,8,5698531,663362,"30U",100,2,38,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0c19029f-8226-475a-b4cb-c249d32289b0_1759751234.jpg"
"6","0c19029f-8226-475a-b4cb-c249d32289b0","746cc2bd-27db-49d6-9c8e-6244e50dd040","7ebea543-a171-47e0-a2f2-62b257b71d2f","2025-10-06T12:11:23.000Z","2025-10-06T14:06:45.000Z",1,1,10,5,61,95,"2025-10-06T12:09:15.000Z","2025-10-06T14:06:43.000Z","QII","QII",6.02,"Quercus robur (Pedunculated Oak)",1959,51.414338,-0.650588,10,5698521,663374,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=746cc2bd-27db-49d6-9c8e-6244e50dd040_1759752553.jpg","2025-10-06T11:48:44.000Z","2025-10-06T14:06:41.000Z","6 T1 P1","6","06/10/2025","Farm wood","T1","P1",51.414432,-0.650753,8,5698531,663362,"30U",100,2,38,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0c19029f-8226-475a-b4cb-c249d32289b0_1759751234.jpg"
"7","0c19029f-8226-475a-b4cb-c249d32289b0","6f037f3d-abb2-4525-9318-926453f30721","6e99b4e5-7990-46e5-87a8-4aed9aeb16ac","2025-10-06T12:18:10.000Z","2025-10-06T14:06:54.000Z",1,1,10,5,17,30,"2025-10-06T12:14:44.000Z","2025-10-06T14:06:52.000Z","QIII","QIII",7,"Ilex sp. (Holly)",NA,51.414388,-0.650755,3,5698526,663362,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=6f037f3d-abb2-4525-9318-926453f30721_1759752792.jpg","2025-10-06T11:48:44.000Z","2025-10-06T14:06:41.000Z","6 T1 P1","6","06/10/2025","Farm wood","T1","P1",51.414432,-0.650753,8,5698531,663362,"30U",100,2,38,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0c19029f-8226-475a-b4cb-c249d32289b0_1759751234.jpg"
"8","0c19029f-8226-475a-b4cb-c249d32289b0","daf52678-8a23-4e8a-8668-55497d23f3e9","811e876f-d95b-4cd8-89c7-3c26551ce4be","2025-10-06T12:01:54.000Z","2025-10-06T14:06:50.000Z",1,1,100,15,70,202,"2025-10-06T11:54:38.000Z","2025-10-06T14:06:48.000Z","QI","QI",4,"Quercus robur (Pedunculated Oak)",22,51.413976,-0.651407,28,5698479,663318,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=daf52678-8a23-4e8a-8668-55497d23f3e9_1759751610.jpg","2025-10-06T11:48:44.000Z","2025-10-06T14:06:41.000Z","6 T1 P1","6","06/10/2025","Farm wood","T1","P1",51.414432,-0.650753,8,5698531,663362,"30U",100,2,38,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0c19029f-8226-475a-b4cb-c249d32289b0_1759751234.jpg"
"9","0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2","6aaae57a-c7be-4d16-a07a-a924250ac5c3","4760231d-fbb1-47cb-8d15-62d1083b7a91","2025-10-06T13:18:44.000Z","2025-10-06T15:04:29.000Z",1,1,10,6,67,59,"2025-10-06T13:18:28.000Z","2025-10-06T15:04:28.000Z","QIV","QIV",3.7,"Betula pendula (Silver Birch)",NA,51.414805,-0.650338,4,5698573,663390,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=6aaae57a-c7be-4d16-a07a-a924250ac5c3_1759756706.jpg","2025-10-06T13:12:54.000Z","2025-10-06T15:04:26.000Z","6 T1 P5","6","06/10/2025","Farm wood","T1","P5",51.414766,-0.650415,5,5698569,663385,"30U",95,1,23,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2_1759756364.jpg"
"10","0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2","032ce083-9022-42e1-9ca8-5ad6cda21656","f7e6991f-4649-421c-93d2-ef63ef67490a","2025-10-06T13:17:51.000Z","2025-10-06T15:04:33.000Z",1,1,10,1,46,51,"2025-10-06T13:17:27.000Z","2025-10-06T15:04:31.000Z","QIII","QIII",4.14,"Quercus robur (Pedunculated Oak)",NA,51.414722,-0.650425,8,5698564,663384,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=032ce083-9022-42e1-9ca8-5ad6cda21656_1759756644.jpg","2025-10-06T13:12:54.000Z","2025-10-06T15:04:26.000Z","6 T1 P5","6","06/10/2025","Farm wood","T1","P5",51.414766,-0.650415,5,5698569,663385,"30U",95,1,23,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2_1759756364.jpg"
