ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Quarter,Distance_SamplePoint,Tree_Sp,Tag,lat_GPS_Location_tree,long_GPS_Location_tree,accuracy_GPS_Location_tree,UTM_Northing_GPS_Location_tree,UTM_Easting_GPS_Location_tree,UTM_Zone_GPS_Location_tree,Picture_ID
d342cc90-a473-11f0-add5-3312f4da17b6,54abe7e0-2744-49c6-9a38-6864b60785ef,2025-10-08T18:23:02.000Z,2025-10-08T18:24:32.000Z,QIV,QIV,0.89,"Quercus robur (Pedunculated Oak)",5825,51.40911,-0.64499,4,5697952,663782,30U,
9da55da0-a473-11f0-add5-3312f4da17b6,54abe7e0-2744-49c6-9a38-6864b60785ef,2025-10-08T18:21:32.000Z,2025-10-08T18:22:59.000Z,QIII,QIII,0.88,"Betula pendula (Silver Birch)",,51.4091,-0.64499,4,5697951,663782,30U,
5ce08e20-a473-11f0-add5-3312f4da17b6,54abe7e0-2744-49c6-9a38-6864b60785ef,2025-10-08T18:19:43.000Z,2025-10-08T18:21:27.000Z,QII,QII,5.1,"Quercus robur (Pedunculated Oak)",1876,51.40911,-0.64492,4,5697952,663787,30U,
cd49acb0-a472-11f0-add5-3312f4da17b6,54abe7e0-2744-49c6-9a38-6864b60785ef,2025-10-08T18:15:42.000Z,2025-10-08T18:24:57.000Z,QI,QI,9.06,"Quercus robur (Pedunculated Oak)",1875,51.40911,-0.64491,4,5697952,663788,30U,
76e2a530-a471-11f0-b1b0-9b88d8d6ce55,27cebdb8-6d71-4c81-aef1-544f8ee4ef35,2025-10-08T18:06:08.000Z,2025-10-08T18:10:03.000Z,QIV,QIV,4.65,"Quercus robur (Pedunculated Oak)",1688,51.40895,-0.64481,4,5697935,663795,30U,
41812dd0-a471-11f0-b1b0-9b88d8d6ce55,27cebdb8-6d71-4c81-aef1-544f8ee4ef35,2025-10-08T18:04:38.000Z,2025-10-08T18:06:06.000Z,QII,QII,4.28,"Acer pseudoplatanus (Sycamore)",,51.40895,-0.64473,4,5697935,663801,30U,
12071880-a471-11f0-b1b0-9b88d8d6ce55,27cebdb8-6d71-4c81-aef1-544f8ee4ef35,2025-10-08T18:03:18.000Z,2025-10-08T18:04:37.000Z,QI,QI,7.1,"Quercus cerris (Turkish Oak)",5738,51.40895,-0.64474,4,5697935,663800,30U,
a00e4420-a46f-11f0-80a2-ffbafe00721c,6561174b-36c8-43c5-9b28-1d0d9ff4dd93,2025-10-08T17:52:58.000Z,2025-10-08T21:36:32.000Z,QIV,QIV,4.38,"Betula pendula (Silver Birch)",,51.40889,-0.64472,4,5697928,663802,30U,
de8b8a10-a46e-11f0-93a5-9fd49b260d38,6561174b-36c8-43c5-9b28-1d0d9ff4dd93,2025-10-08T17:47:33.000Z,2025-10-08T17:51:14.000Z,QII,QII,4.2,"Betula pendula (Silver Birch)",,51.40891,-0.64469,4,5697931,663804,30U,
eff6ba00-a46d-11f0-93a5-9fd49b260d38,6561174b-36c8-43c5-9b28-1d0d9ff4dd93,2025-10-08T17:40:53.000Z,2025-10-08T17:52:27.000Z,QI,QI,1.12,"Acer pseudoplatanus (Sycamore)",,51.40888,-0.64471,4,5697927,663802,30U,
b60f2e00-a45c-11f0-9650-4f1cba30f35c,faed5360-5fd3-4cdf-b79a-ccb05ac5f621,2025-10-08T15:37:34.000Z,2025-10-08T15:37:52.000Z,QIV,QIV,5.44,,,51.40884,-0.64464,4,5697923,663807,30U,
aa65a520-a45c-11f0-9650-4f1cba30f35c,faed5360-5fd3-4cdf-b79a-ccb05ac5f621,2025-10-08T15:37:15.000Z,2025-10-08T15:37:33.000Z,QIII,QIII,5.6,"Crataegus monogyna (Hawthorn)",,51.40884,-0.64458,4,5697923,663811,30U,
9d9af4d0-a45c-11f0-9650-4f1cba30f35c,faed5360-5fd3-4cdf-b79a-ccb05ac5f621,2025-10-08T15:36:53.000Z,2025-10-08T15:37:13.000Z,QII,QII,6.9,"Quercus robur (Pedunculated Oak)",44,51.40884,-0.64455,4,5697923,663814,30U,
82aa7100-a45c-11f0-9650-4f1cba30f35c,faed5360-5fd3-4cdf-b79a-ccb05ac5f621,2025-10-08T15:36:08.000Z,2025-10-08T15:36:52.000Z,QI,QI,1.5,"Crataegus monogyna (Hawthorn)",,51.40885,-0.64456,4,5697924,663813,30U,
0c1848f0-a45c-11f0-99f0-e3a605fcea0c,5a5f5544-bfcf-47fd-a3e9-1df3b35820f1,2025-10-08T15:32:49.000Z,2025-10-08T15:33:09.000Z,QIV,QIV,2.3,"Acer pseudoplatanus (Sycamore)",,51.40879,-0.64455,4,5697918,663814,30U,
f6c85a30-a45b-11f0-99f0-e3a605fcea0c,5a5f5544-bfcf-47fd-a3e9-1df3b35820f1,2025-10-08T15:32:13.000Z,2025-10-08T15:32:48.000Z,QIII,QIII,4.68,"Quercus robur (Pedunculated Oak)",1792,51.40872,-0.64457,4,5697910,663813,30U,
9c38e940-a45b-11f0-99f0-e3a605fcea0c,5a5f5544-bfcf-47fd-a3e9-1df3b35820f1,2025-10-08T15:29:41.000Z,2025-10-08T15:32:12.000Z,QII,QII,9.4,"Other species",,51.40877,-0.6444,4,5697916,663824,30U,
8905c000-a45b-11f0-99f0-e3a605fcea0c,5a5f5544-bfcf-47fd-a3e9-1df3b35820f1,2025-10-08T15:29:09.000Z,2025-10-08T15:29:40.000Z,QI,QI,11,"Acer pseudoplatanus (Sycamore)",,51.40882,-0.64441,4,5697921,663823,30U,
19ab6440-a45a-11f0-a046-33f50e7c8fb1,6c191c35-f97e-4883-98f4-d4af69dfedcb,2025-10-08T15:18:53.000Z,2025-10-08T15:19:44.000Z,QIV,QIV,0.61,"Acer pseudoplatanus (Sycamore)",,51.40808,-0.64531,4,5697837,663763,30U,
d2983380-a459-11f0-a046-33f50e7c8fb1,6c191c35-f97e-4883-98f4-d4af69dfedcb,2025-10-08T15:16:54.000Z,2025-10-08T15:18:52.000Z,QIII,QIII,6.21,"Quercus robur (Pedunculated Oak)",5689,51.40808,-0.6453,4,5697837,663764,30U,
9fd44a60-a459-11f0-a046-33f50e7c8fb1,6c191c35-f97e-4883-98f4-d4af69dfedcb,2025-10-08T15:15:28.000Z,2025-10-08T15:16:51.000Z,QII,QII,5.19,"Betula pendula (Silver Birch)",,51.40809,-0.64532,4,5697838,663763,30U,
8ea07390-a459-11f0-a046-33f50e7c8fb1,6c191c35-f97e-4883-98f4-d4af69dfedcb,2025-10-08T15:15:00.000Z,2025-10-08T15:15:27.000Z,QI,QI,4.42,"Betula pendula (Silver Birch)",,51.40809,-0.64531,4,5697838,663763,30U,
4f58ce30-a459-11f0-ae98-7f600dcee17d,84f1c311-48da-44f5-a9a3-30e4680e9ed4,2025-10-08T15:13:13.000Z,2025-10-08T15:13:35.000Z,QIV,QIV,7.52,"Crataegus monogyna (Hawthorn)",,51.408,-0.6452,4,5697828,663771,30U,
