ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,Stem_number,Stem_distance,Angle_to_base,Angle_to_canopy,Stem_girth
f0c72530-a474-11f0-b50b-4f5346ad2bee,d342cc90-a473-11f0-add5-3312f4da17b6,2025-10-08T18:31:01.000Z,2025-10-08T21:43:18.000Z,1,1,13.8,4,54,110
d5ea7780-a474-11f0-8e5a-f16d61453bdf,9da55da0-a473-11f0-add5-3312f4da17b6,2025-10-08T18:30:16.000Z,2025-10-08T21:42:54.000Z,1,1,17.4,7,42,76
9a8da0e0-a474-11f0-9f25-cb1a488bce8e,5ce08e20-a473-11f0-add5-3312f4da17b6,2025-10-08T18:28:36.000Z,2025-10-08T21:42:21.000Z,1,1,18.3,4,53,190
75f46d40-a474-11f0-8940-4bfa2dc59b3a,cd49acb0-a472-11f0-add5-3312f4da17b6,2025-10-08T18:27:35.000Z,2025-10-08T21:41:41.000Z,2,2,16.7,5,57,68
27eb2990-a474-11f0-8940-4bfa2dc59b3a,cd49acb0-a472-11f0-add5-3312f4da17b6,2025-10-08T18:25:24.000Z,2025-10-08T21:41:24.000Z,1,1,16.7,5,57,145
a7d422d0-a472-11f0-b383-4bf83f5c9831,76e2a530-a471-11f0-b1b0-9b88d8d6ce55,2025-10-08T18:14:39.000Z,2025-10-08T21:40:16.000Z,3,3,14.5,3,54,64
90501600-a472-11f0-b383-4bf83f5c9831,76e2a530-a471-11f0-b1b0-9b88d8d6ce55,2025-10-08T18:14:00.000Z,2025-10-08T21:39:56.000Z,2,2,14.5,3,54,82
6392afb0-a472-11f0-b383-4bf83f5c9831,76e2a530-a471-11f0-b1b0-9b88d8d6ce55,2025-10-08T18:12:45.000Z,2025-10-08T21:39:28.000Z,1,1,14.5,3,54,59
42d49360-a472-11f0-aed5-d517f1eee984,41812dd0-a471-11f0-b1b0-9b88d8d6ce55,2025-10-08T18:11:50.000Z,2025-10-08T21:38:50.000Z,1,1,10.3,7,32,42
118a03d0-a472-11f0-b705-438b2def6382,12071880-a471-11f0-b1b0-9b88d8d6ce55,2025-10-08T18:10:27.000Z,2025-10-08T21:38:08.000Z,1,1,15.2,3,55,94
4b9ba7b0-a470-11f0-89cf-eb9c42a8b45f,a00e4420-a46f-11f0-80a2-ffbafe00721c,2025-10-08T17:57:46.000Z,2025-10-08T21:37:20.000Z,1,1,15.1,4,55,51
1a81c510-a470-11f0-966e-c1516aeb3fd9,de8b8a10-a46e-11f0-93a5-9fd49b260d38,2025-10-08T17:56:23.000Z,2025-10-08T21:36:13.000Z,1,1,16.5,3,47,209
e8333300-a46f-11f0-b430-03ed366e2b53,eff6ba00-a46d-11f0-93a5-9fd49b260d38,2025-10-08T17:54:59.000Z,2025-10-08T21:35:33.000Z,1,1,12,7,30,30
078de960-a45d-11f0-b65d-db2770c45bfb,b60f2e00-a45c-11f0-9650-4f1cba30f35c,2025-10-08T15:39:51.000Z,2025-10-08T15:40:05.000Z,2,2,11.3,6,45,57
fd7b0610-a45c-11f0-b65d-db2770c45bfb,b60f2e00-a45c-11f0-9650-4f1cba30f35c,2025-10-08T15:39:34.000Z,2025-10-08T15:39:50.000Z,1,1,11.3,6,45,55
eaac43f0-a45c-11f0-8e8f-6f6b430b6b56,aa65a520-a45c-11f0-9650-4f1cba30f35c,2025-10-08T15:39:02.000Z,2025-10-08T15:39:24.000Z,1,1,11.6,7,40,30
d83df150-a45c-11f0-8409-4b3ce1eb3040,9d9af4d0-a45c-11f0-9650-4f1cba30f35c,2025-10-08T15:38:32.000Z,2025-10-08T15:38:48.000Z,1,1,12.1,3,57,257
c6606d00-a45c-11f0-ab24-4f2b1c70b2e5,82aa7100-a45c-11f0-9650-4f1cba30f35c,2025-10-08T15:38:02.000Z,2025-10-08T15:38:26.000Z,1,1,10.6,7,20,44
6fbb7cb0-a45c-11f0-821e-b72d1f8cc6c7,0c1848f0-a45c-11f0-99f0-e3a605fcea0c,2025-10-08T15:35:36.000Z,2025-10-08T15:35:56.000Z,2,2,11,7,45,37
65cc26f0-a45c-11f0-821e-b72d1f8cc6c7,0c1848f0-a45c-11f0-99f0-e3a605fcea0c,2025-10-08T15:35:20.000Z,2025-10-08T15:35:35.000Z,1,1,11,7,45,53
568441a0-a45c-11f0-83fb-ad4d020b6900,f6c85a30-a45b-11f0-99f0-e3a605fcea0c,2025-10-08T15:34:54.000Z,2025-10-08T15:35:12.000Z,1,1,14,7,65,217
49d30cc0-a45c-11f0-81cb-f3f67e4ae4cc,9c38e940-a45b-11f0-99f0-e3a605fcea0c,2025-10-08T15:34:33.000Z,2025-10-08T15:34:50.000Z,1,1,10,4,30,63
397cc4b0-a45c-11f0-92e0-31c59a30f78e,8905c000-a45b-11f0-99f0-e3a605fcea0c,2025-10-08T15:34:05.000Z,2025-10-08T15:34:23.000Z,3,3,10,5,30,57
30c5a0d0-a45c-11f0-92e0-31c59a30f78e,8905c000-a45b-11f0-99f0-e3a605fcea0c,2025-10-08T15:33:51.000Z,2025-10-08T15:34:04.000Z,2,2,10,5,30,61
1cd764f0-a45c-11f0-92e0-31c59a30f78e,8905c000-a45b-11f0-99f0-e3a605fcea0c,2025-10-08T15:33:17.000Z,2025-10-08T15:33:49.000Z,1,1,10,5,30,36
217ee970-a45b-11f0-80fa-a5030da002de,19ab6440-a45a-11f0-a046-33f50e7c8fb1,2025-10-08T15:26:15.000Z,2025-10-08T15:26:31.000Z,1,1,10,7,43,56
150120a0-a45b-11f0-9658-f900b2ea7716,d2983380-a459-11f0-a046-33f50e7c8fb1,2025-10-08T15:25:54.000Z,2025-10-08T15:26:11.000Z,1,1,18.3,2,55,290
05d8d140-a45b-11f0-816c-13043dc4bd07,9fd44a60-a459-11f0-a046-33f50e7c8fb1,2025-10-08T15:25:29.000Z,2025-10-08T15:25:47.000Z,1,1,16.2,3,47,96
ee2ca300-a45a-11f0-bcf1-e9f9ae02ae74,8ea07390-a459-11f0-a046-33f50e7c8fb1,2025-10-08T15:24:49.000Z,2025-10-08T15:25:12.000Z,2,2,15,5,55,36
d2c170f0-a45a-11f0-bcf1-e9f9ae02ae74,8ea07390-a459-11f0-a046-33f50e7c8fb1,2025-10-08T15:24:03.000Z,2025-10-08T15:24:48.000Z,1,1,15,5,55,130
7c64c9b0-a459-11f0-8321-03d7f3f79e7f,4f58ce30-a459-11f0-ae98-7f600dcee17d,2025-10-08T15:14:29.000Z,2025-10-08T15:14:43.000Z,1,1,10,3,23,33
68ef1930-a459-11f0-86f1-31d2d980a88d,39ae1540-a459-11f0-ae98-7f600dcee17d,2025-10-08T15:13:56.000Z,2025-10-08T15:14:23.000Z,1,1,10,9,28,53
1ce3c860-a459-11f0-b380-25de10e94fd4,c0081d80-a458-11f0-b330-e1f6db5c69eb,2025-10-08T15:11:49.000Z,2025-10-08T15:21:54.000Z,1,1,10,8,30,41
0df68630-a459-11f0-85fe-df5f0f10b39c,b0b032a0-a458-11f0-b330-e1f6db5c69eb,2025-10-08T15:11:24.000Z,2025-10-08T15:11:43.000Z,1,1,14.2,5,55,250
fd81b9a0-a458-11f0-9897-4533dc693cbb,9b792310-a458-11f0-b330-e1f6db5c69eb,2025-10-08T15:10:56.000Z,2025-10-08T15:11:20.000Z,1,1,13.5,9,50,192
7bbc2310-a458-11f0-b7d0-b37978ed3f23,171fc240-a458-11f0-a870-212a4c6754cf,2025-10-08T15:07:18.000Z,2025-10-08T15:07:48.000Z,1,1,12.3,3,65,210
61acb070-a458-11f0-9644-1f0fef32114b,c40be7f0-a457-11f0-a870-212a4c6754cf,2025-10-08T15:06:35.000Z,2025-10-08T15:07:13.000Z,1,1,16.9,5,60,480
83b4f570-a457-11f0-ab11-ed5ce855d63e,37ac8ad0-a457-11f0-8362-f9ada18b00d2,2025-10-08T15:00:22.000Z,2025-10-08T15:00:41.000Z,1,1,13,4,54,230
73d08200-a457-11f0-9613-fd218817e4de,f315cbc0-a456-11f0-8362-f9ada18b00d2,2025-10-08T14:59:56.000Z,2025-10-08T15:00:15.000Z,1,1,12,1,60,220
62e32a10-a457-11f0-b9b3-bf7713a3e054,cfe59e00-a456-11f0-8362-f9ada18b00d2,2025-10-08T14:59:27.000Z,2025-10-08T14:59:49.000Z,1,1,12,5,50,95
915dbba0-a455-11f0-ba1c-f9b49e6b3c03,5ad26a40-a455-11f0-9bac-a50de5b7239f,2025-10-08T14:46:26.000Z,2025-10-08T14:47:30.000Z,1,1,12.3,9,50,171
78833c8f-d3a9-4954-b76f-38ba8cb195c2,b61b8e72-5a78-49e2-a43d-71531ed4be09,2025-10-08T13:43:12.000Z,2025-10-08T13:43:40.000Z,1,1,8.2,12,49,55
3c984d00-9260-4d3a-8561-f1e8bdcc5e4e,44a3bdbf-151c-43cd-af4e-963b51dc90fa,2025-10-08T13:41:11.000Z,2025-10-08T13:43:36.000Z,1,1,14.6,11,44,107
df7c9ea7-2af2-4a41-a01f-9412c1c4658d,1be873c7-98a9-4b44-b614-2413066aa1da,2025-10-08T13:38:07.000Z,2025-10-08T13:43:32.000Z,1,1,8.7,10,51,64
41664c94-476e-452f-9544-46b189f13f86,9850ab9c-d35c-445b-a043-3eb984917dba,2025-10-08T13:34:43.000Z,2025-10-08T13:43:28.000Z,1,1,8,12,46,53
462317a0-cbc1-479c-b763-6afae2818fae,4908cfe7-658e-4a61-b6f9-7e098bd86413,2025-10-08T13:27:12.000Z,2025-10-08T13:27:24.000Z,3,3,12,9,48,43
8cb6eaa0-55ad-4e97-8239-d4cef5380d0f,4908cfe7-658e-4a61-b6f9-7e098bd86413,2025-10-08T13:26:49.000Z,2025-10-08T13:27:22.000Z,2,2,12,9,48,56
275cbce3-4c42-47de-a111-d83f91bed823,4908cfe7-658e-4a61-b6f9-7e098bd86413,2025-10-08T13:26:26.000Z,2025-10-08T13:27:20.000Z,1,1,12,9,48,68
11451653-2f24-4c4e-b02f-181392018184,a2cd33dd-95f9-4b7e-b6b5-4edb8d8621c8,2025-10-06T15:39:58.000Z,2025-10-06T16:43:28.000Z,1,1,10,3,45,40
