"","ec5_parent_uuid","ec5_uuid","created_at.tree","uploaded_at.tree","title.tree","Quarter","Distance_SamplePoint","Tree_Sp","Tag","lat_GPS_Location_tree","long_GPS_Location_tree","accuracy_GPS_Location_tree","UTM_Northing_GPS_Location_tree","UTM_Easting_GPS_Location_tree","UTM_Zone_GPS_Location_tree","Picture_ID","created_at.transect","uploaded_at.transect","title.transect","Group","Date","Woodland","Transect","Sampling_point","lat_Point_GPS","long_Point_GPS","accuracy_Point_GPS","UTM_Northing_Point_GPS","UTM_Easting_Point_GPS","UTM_Zone_Point_GPS","Precentage_cover","Species_number","Max_height","Dominant_sp","Quadrat_photo"
"1","021603ba-cc4e-449b-a81d-004a7852ce81","def9408c-0c18-45ee-9df1-d71b3e959fdc","2024-10-07T15:25:02.000Z","2024-10-07T16:11:38.000Z","QIII","QIII",4.6,"Sambucus nigra (Elder)",NA,51.409055,-0.644551,5,5697947,663813,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=def9408c-0c18-45ee-9df1-d71b3e959fdc_1728314695.jpg","2024-10-07T15:18:46.000Z","2024-10-07T16:11:28.000Z","9 T2 P3","9","07/10/2024","Elms Slope","T2","P3",51.409117,-0.644771,5,5697953,663797,"30U",0,0,0,"0","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=021603ba-cc4e-449b-a81d-004a7852ce81_1728314318.jpg"
"2","021603ba-cc4e-449b-a81d-004a7852ce81","aa85d0c7-b28b-4166-a490-69932101e780","2024-10-07T15:27:11.000Z","2024-10-07T16:11:35.000Z","QIV","QIV",4.3,"Quercus robur (Pedunculated Oak)",1679,51.409004,-0.644679,4,5697941,663804,"30U","","2024-10-07T15:18:46.000Z","2024-10-07T16:11:28.000Z","9 T2 P3","9","07/10/2024","Elms Slope","T2","P3",51.409117,-0.644771,5,5697953,663797,"30U",0,0,0,"0","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=021603ba-cc4e-449b-a81d-004a7852ce81_1728314318.jpg"
"3","021603ba-cc4e-449b-a81d-004a7852ce81","92583c28-00f4-4332-b80c-9893fa5f3c5f","2024-10-07T15:22:05.000Z","2024-10-07T16:11:33.000Z","QII","QII",4.5,"Acer pseudoplatanus (Sycamore)",NA,51.409118,-0.644685,4,5697954,663803,"30U","","2024-10-07T15:18:46.000Z","2024-10-07T16:11:28.000Z","9 T2 P3","9","07/10/2024","Elms Slope","T2","P3",51.409117,-0.644771,5,5697953,663797,"30U",0,0,0,"0","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=021603ba-cc4e-449b-a81d-004a7852ce81_1728314318.jpg"
"4","021603ba-cc4e-449b-a81d-004a7852ce81","dd13dfcd-4385-404b-9233-3f0c7c1df2af","2024-10-07T15:20:04.000Z","2024-10-07T16:11:30.000Z","QI","QI",5.2,"Quercus robur (Pedunculated Oak)",NA,51.409091,-0.64475,5,5697951,663799,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=dd13dfcd-4385-404b-9233-3f0c7c1df2af_1728314397.jpg","2024-10-07T15:18:46.000Z","2024-10-07T16:11:28.000Z","9 T2 P3","9","07/10/2024","Elms Slope","T2","P3",51.409117,-0.644771,5,5697953,663797,"30U",0,0,0,"0","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=021603ba-cc4e-449b-a81d-004a7852ce81_1728314318.jpg"
"5","04d62702-eb5a-4f48-b13b-a10e3e82a0f1","2106371b-b1bf-4953-a480-73ffa99c7be0","2024-10-07T16:56:02.000Z","2024-10-07T17:01:09.000Z","QIV","QIV",8.71,"Alnus sp (Alder)",NA,51.41432,0.64546,4,5698530,336268,"31U","","2024-10-07T16:54:05.000Z","2024-10-07T16:57:09.000Z","3 T2 P3","3","07/10/2024","Nash's Copse","T2","P3",51.41432,0.64546,4,5698530,336268,"31U",2,2,3,"Thuidium tamarisinum","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=04d62702-eb5a-4f48-b13b-a10e3e82a0f1_1728320042.jpg"
"6","07f1a4ea-32b8-45fc-8824-5c31957ee407","45f7d440-463c-4736-b564-d49dfbdf390b","2024-10-07T16:08:32.000Z","2024-10-07T16:46:41.000Z","QIII","QIII",14,"Quercus robur (Pedunculated Oak)",NA,51.412762,-0.653616,5,5698339,663169,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=45f7d440-463c-4736-b564-d49dfbdf390b_1728317309.jpg","2024-10-07T16:02:36.000Z","2024-10-07T16:46:34.000Z","2 T2 P4","2","07/10/2024","Mann's Copse","T2","P4",51.412805,-0.653416,8,5698344,663183,"30U",0,0,0,"None","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=07f1a4ea-32b8-45fc-8824-5c31957ee407_1728316940.jpg"
"7","07f1a4ea-32b8-45fc-8824-5c31957ee407","db65585a-4fe7-45d5-8aea-992e1593d400","2024-10-07T16:07:05.000Z","2024-10-07T16:46:38.000Z","QII","QII",8,"Quercus robur (Pedunculated Oak)",NA,51.412673,-0.653429,5,5698329,663182,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=db65585a-4fe7-45d5-8aea-992e1593d400_1728317222.jpg","2024-10-07T16:02:36.000Z","2024-10-07T16:46:34.000Z","2 T2 P4","2","07/10/2024","Mann's Copse","T2","P4",51.412805,-0.653416,8,5698344,663183,"30U",0,0,0,"None","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=07f1a4ea-32b8-45fc-8824-5c31957ee407_1728316940.jpg"
"8","07f1a4ea-32b8-45fc-8824-5c31957ee407","6732dcbb-f18d-49a0-bc77-7bae76386660","2024-10-07T16:10:04.000Z","2024-10-07T16:46:45.000Z","QIV","QIV",2,"Quercus robur (Pedunculated Oak)",NA,51.412812,-0.653432,5,5698345,663182,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=6732dcbb-f18d-49a0-bc77-7bae76386660_1728317401.jpg","2024-10-07T16:02:36.000Z","2024-10-07T16:46:34.000Z","2 T2 P4","2","07/10/2024","Mann's Copse","T2","P4",51.412805,-0.653416,8,5698344,663183,"30U",0,0,0,"None","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=07f1a4ea-32b8-45fc-8824-5c31957ee407_1728316940.jpg"
"9","07f1a4ea-32b8-45fc-8824-5c31957ee407","e7bab671-20d0-4207-befe-0ef109b373cf","2024-10-07T16:03:46.000Z","2024-10-07T16:46:35.000Z","QI","QI",4,"Betula pendula (Silver Birch)",NA,51.412773,-0.653452,5,5698341,663180,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=e7bab671-20d0-4207-befe-0ef109b373cf_1728317012.jpg","2024-10-07T16:02:36.000Z","2024-10-07T16:46:34.000Z","2 T2 P4","2","07/10/2024","Mann's Copse","T2","P4",51.412805,-0.653416,8,5698344,663183,"30U",0,0,0,"None","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=07f1a4ea-32b8-45fc-8824-5c31957ee407_1728316940.jpg"
"10","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","37ac8ad0-a457-11f0-8362-f9ada18b00d2","2025-10-08T14:58:15.000Z","2025-10-08T14:59:17.000Z","QIV","QIV",4.3,"Quercus robur (Pedunculated Oak)",1224,51.40804,-0.64475,4,5697834,663802,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"11","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","f315cbc0-a456-11f0-8362-f9ada18b00d2","2025-10-08T14:56:20.000Z","2025-10-08T14:58:14.000Z","QIII","QIII",10.9,"Conifer",NA,51.40794,-0.64463,4,5697823,663811,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"12","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","cfe59e00-a456-11f0-8362-f9ada18b00d2","2025-10-08T14:55:21.000Z","2025-10-08T14:56:17.000Z","QII","QII",1.3,"",NA,51.40806,-0.64465,4,5697836,663809,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"13","0a1ab4bd-d548-4a69-9f92-7ed007a1db55","5ad26a40-a455-11f0-9bac-a50de5b7239f","2025-10-08T14:44:55.000Z","2025-10-08T14:46:06.000Z","QI","QI",18,"Quercus robur (Pedunculated Oak)",1225,51.4081,-0.64485,4,5697840,663795,"30U","","2025-10-08T13:46:21.000Z","2025-10-08T13:46:33.000Z","7 T1 P1","7","06/10/2025","Elms Slope","T1","P1",51.40805,-0.64471,4,5697835,663805,"30U",3,1,19,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a1ab4bd-d548-4a69-9f92-7ed007a1db55_1759931106.jpg"
"14","0a32d125-b12b-4eda-afdc-207485119246","0be0af9d-9fe6-4347-8e44-644dcca242c3","2024-10-07T16:03:55.000Z","2024-10-08T11:01:34.000Z","QIV","QIV",1.32,"Acer pseudoplatanus (Sycamore)",NA,51.414631,-0.649865,4,5698555,663423,"30U","","2024-10-07T15:46:04.000Z","2024-10-08T11:01:22.000Z","6 T2 P5","6","07/10/2024","Farm wood","T2","P5",51.414668,-0.649767,4,5698559,663430,"30U",2,1,12,"Bramble","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a32d125-b12b-4eda-afdc-207485119246_1728315956.jpg"
"15","0a32d125-b12b-4eda-afdc-207485119246","b1c90031-7681-41d1-9815-0a0a8401bd6e","2024-10-07T16:05:04.000Z","2024-10-08T11:01:30.000Z","QIII","QIII",6.96,"Ulmus sp. (Elm)",NA,51.414638,-0.649689,4,5698556,663435,"30U","","2024-10-07T15:46:04.000Z","2024-10-08T11:01:22.000Z","6 T2 P5","6","07/10/2024","Farm wood","T2","P5",51.414668,-0.649767,4,5698559,663430,"30U",2,1,12,"Bramble","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a32d125-b12b-4eda-afdc-207485119246_1728315956.jpg"
"16","0a32d125-b12b-4eda-afdc-207485119246","aac22031-7671-4462-8321-f068a17702c3","2024-10-07T16:04:31.000Z","2024-10-08T11:01:27.000Z","QII","QII",0.39,"Acer pseudoplatanus (Sycamore)",NA,51.414653,-0.649808,4,5698558,663427,"30U","","2024-10-07T15:46:04.000Z","2024-10-08T11:01:22.000Z","6 T2 P5","6","07/10/2024","Farm wood","T2","P5",51.414668,-0.649767,4,5698559,663430,"30U",2,1,12,"Bramble","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a32d125-b12b-4eda-afdc-207485119246_1728315956.jpg"
"17","0a32d125-b12b-4eda-afdc-207485119246","4f8ec33b-e13c-4de2-84c2-09bf42615397","2024-10-07T16:04:19.000Z","2024-10-08T11:01:23.000Z","QI","QI",4.46,"Acer pseudoplatanus (Sycamore)",NA,51.414659,-0.649836,4,5698558,663425,"30U","","2024-10-07T15:46:04.000Z","2024-10-08T11:01:22.000Z","6 T2 P5","6","07/10/2024","Farm wood","T2","P5",51.414668,-0.649767,4,5698559,663430,"30U",2,1,12,"Bramble","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0a32d125-b12b-4eda-afdc-207485119246_1728315956.jpg"
"18","0c19029f-8226-475a-b4cb-c249d32289b0","25425f74-2eb2-440c-bc97-3026d775313a","2025-10-06T12:20:51.000Z","2025-10-06T14:06:57.000Z","QIV","QIV",11.05,"Betula pendula (Silver Birch)",NA,51.414369,-0.650736,13,5698524,663364,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=25425f74-2eb2-440c-bc97-3026d775313a_1759753247.jpg","2025-10-06T11:48:44.000Z","2025-10-06T14:06:41.000Z","6 T1 P1","6","06/10/2025","Farm wood","T1","P1",51.414432,-0.650753,8,5698531,663362,"30U",100,2,38,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0c19029f-8226-475a-b4cb-c249d32289b0_1759751234.jpg"
